word,definition,example
a,"In English grammar, ""a"" is an indefinite article used before a noun to indicate that the noun refers generally or specifically to one thing, but not necessarily any particular one.","""I saw a cat on the street."" (In this sentence, the speaker did not see a specific cat; any cat would suffice.)"
a.m./A.M./am/AM,"A.M., or am, refers to the period of time from 12:01 a.m. (midnight) until 11:59 a.m. in a 12-hour clock system.",I have an appointment at 8:30 a.m. tomorrow morning.
abandon,"To leave completely and deliberately, typically in a way that one will not return.",The family abandoned their old house when the floodwaters started to rise.
abandoned,"To leave completely and definitely, especially in a way that shows a lack of concern or care for something or someone. The act or state of being deserted or forsaken.",The old house was abandoned by its previous owners and now stands as a shell of its former self.
ability,The capacity to do something effectively or successfully. It refers to a skill or power that one possesses.,John has the ability to solve complex mathematical problems quickly.
able,"Able refers to having the capacity, skill, or power to do something. It is often used to describe potential or possibility.",The dog was able to jump over the fence easily.
abnormal,"Abnormal refers to something that deviates from what is normal or expected in a given context, often indicating an irregularity, deviation, or deviance.",Jane's heart rate during exercise was abnormal because it exceeded the recommended maximum by 30 beats per minute.
abnormally,"Abnormally refers to something that deviates from what is normal or expected, either in a statistical sense or according to a particular standard.","His heartbeat was abnormal during the stress test, causing the doctor to recommend further examinations."
aboard,"Aboard refers to being on a ship, aircraft, or other vehicle. It signifies that someone or something is on the moving vehicle.","The passengers were asked to return to their seats and fasten their seatbelts as we are about to take off, please remain seated until we are safely aboard."
abolish,"To officially end or annul something, especially a law or institution.",The constitution of the country abolished slavery in 1865.
aboriginal,"Aboriginal refers to the original or first inhabitants of a region. It is typically used in reference to indigenous peoples of Australia, Canada, New Zealand, and other parts of the world.","The Aboriginal people of Australia have lived on this continent for over 65,000 years."
aborigine,"An aborigine is a member of the original, indigenous peoples of Australia.",The Aboriginal communities in Northern Territory have been preserving their unique art and culture for centuries.
about,Relating to or concerned with; approximately or in the region of.,"She talked about her recent vacation for hours, sharing stories and photos from her trip."
above,"Located higher in position, level, or rank; superior to something else.",The clouds were above the mountain peaks.
abroad,Refers to any place outside one's native country or region.,She plans to travel abroad for a year to teach English in China.
abruptly,"Sudden or unexpected, marked by an abrupt change in speed or direction.","The storm suddenly hit the city, coming in abruptly after days of clear skies."
