word,definition,example
a,Used before a noun to indicate one particular but unspecified thing.,I saw a cat in the garden.
a.m./A.M./am/AM,The period from midnight to noon (12:00 a.m.).,I wake up at 7:00 a.m. every morning.
abandon,To leave completely and finally; to give up.,The sailors had to abandon ship during the storm.
abandoned,Left behind and deserted; no longer occupied or used.,"The abandoned house stood silently on the hill, its windows dark and empty."
ability,The power or skill to do something.,Her ability to speak French fluently helped her get the job.
able,"Having the power, skill, or means to do something.",She is able to speak three languages fluently.
abnormal,Not normal; unusual or different from what is expected.,The doctor noticed an abnormal lump during the breast exam.
abnormally,,
aboard,"On or into a ship, aircraft, train, or other vehicle.",All passengers are now aboard the plane.
abolish,"To formally put an end to something, like a law or practice.",The United States abolished slavery in 1865.
aboriginal,Existing in a place from the earliest known times; native.,The museum displayed aboriginal artifacts and artwork.
aborigine,A person belonging to the original or earliest known inhabitants of a country or region.,The Australian aborigines have a rich cultural history dating back tens of thousands of years.
about,,
above,Higher than or over something.,The birds were flying above the trees.
abroad,In or to a foreign country or countries.,We're going abroad for our summer vacation this year.
abruptly,Suddenly and unexpectedly.,"The music stopped abruptly, leaving the audience in silence."
absence,The state of being away from a place or person.,Her absence from the meeting was noticed immediately.
absent,,
absentee,Someone who is not present where they are expected or required to be.,The absentee landlord never fixed the leaky roof.
absolute,Complete; without limits or restrictions.,The king had absolute power over his kingdom.
absolutely,completely; totally; without a doubt.,I am absolutely sure I locked the door.
absorb,To soak up a liquid or other substance; or to take in information or ideas.,The sponge absorbed the spilled milk.
abstract,Existing as an idea or quality rather than a physical thing.,Justice is an abstract concept that can be interpreted in many ways.
absurd,"Ridiculously unreasonable, illogical, or inappropriate.",It's absurd to think you can fly by flapping your arms.
abundance,A large quantity of something; more than enough.,The garden produced an abundance of tomatoes this year.
abundant,Existing in large quantities; plentiful.,"During the summer, fresh fruits and vegetables are abundant in the farmer's market."
abuse,"To treat someone with cruelty or violence, often repeatedly.",The coach was fired after players reported his verbal abuse.
academic,"Relating to education, scholarship, or learning.",Her academic achievements earned her a scholarship to a prestigious university.
academy,A school or institution providing specialized training or education.,She enrolled in the police academy to become an officer.
accent,"A distinctive way of pronouncing a language, especially one associated with a particular country, area, or social class.",She has a beautiful French accent.
accept,To receive or take willingly something offered.,I accept your apology.
acceptable,Good enough; satisfactory.,"His answer was acceptable, but not ideal."
acceptance,The act of agreeing with or believing something; the process of being received or allowed to enter.,Her parents showed acceptance of her lifestyle choices.
access,"The ability or right to enter, use, or look at something.",You need a password to access the company's network.
accessibility,"The quality of being easily used or reached by people, including those with disabilities.",The city is working to improve the accessibility of its public transportation for wheelchair users.
accessible,"Easy to reach, enter, use, or understand.",The museum is accessible to wheelchair users.
accessory,Something extra that is useful or adds to the appearance of something else.,She bought a new scarf as an accessory to her winter coat.
accident,"An unexpected event, typically resulting in injury or damage.",She was late to work because she was stuck in traffic due to a car accident.
accidental,Happening by chance; unintentional.,I made an accidental error in the calculation.
accidentally,By chance; unintentionally.,I accidentally deleted the file and had to recreate it.
accommodation,A place to live or stay.,The hotel offers comfortable accommodation for tourists.
accompany,,
accomplish,To successfully complete or achieve something.,She worked hard and was able to accomplish all of her goals for the year.
according to,As stated or reported by someone or something.,"According to the weather forecast, it will rain tomorrow."
accordingly,In a way that is appropriate to the circumstances; therefore.,"The forecast predicted rain, so we packed umbrellas accordingly."
account,A record of financial transactions or a report/explanation of something.,I have a savings account at the bank.
accountant,A person whose job is to keep or inspect financial records.,Our accountant helps us prepare our taxes every year.
accumulate,To gradually gather or collect something.,Snow can accumulate quickly during a blizzard.
accuracy,The quality of being correct or precise.,The accuracy of the GPS allowed us to find our location quickly.
accurate,Correct or exact.,The detective gave an accurate description of the suspect.
accurately,Correctly and without errors.,The weather forecast accurately predicted the heavy rain.
accusation,A claim that someone has done something wrong or illegal.,The politician denied the accusation of accepting bribes.
accuse,To say someone has done something wrong or illegal.,The police accused him of stealing the car.
accustom,To get used to something.,I need to accustom my eyes to the darkness.
ache,A continuous or prolonged dull pain in a part of one's body.,My back started to ache after sitting at my desk all day.
achievable,,
achieve,To successfully complete something or reach a desired goal.,She studied hard to achieve a good grade on the test.
